# carac1, carac2, specie
0.09,0.21,0
0.43,0.35,0
0.36,0.64,0
0.54,0.47,1
0.23,0.33,0
0.35,0.83,1
0.48,0.06,0
0.10,0.39,0
0.55,0.30,0
0.08,0.62,1
0.14,0.32,0
0.24,0.19,0
0.50,0.18,0
0.36,0.66,0
0.31,0.18,0
0.46,0.54,0
0.11,0.23,0
0.13,0.52,0
0.31,0.33,0
0.20,0.35,0
0.14,0.64,1
0.27,0.76,1
0.29,0.19,0
0.07,0.34,0
0.50,0.24,0
0.03,0.39,1
0.31,0.57,0
0.45,0.36,0
0.05,0.22,0
0.15,0.33,0
0.50,0.41,0
0.42,0.29,0
0.38,0.33,0
0.21,0.43,0
0.20,0.14,0
0.12,0.76,1
0.35,0.51,0
0.03,0.06,0
0.25,0.17,0
0.04,0.51,0
0.28,0.26,0
0.38,0.42,0
0.41,0.27,0
0.15,0.09,0
0.34,0.62,0
0.68,0.11,0
0.38,0.26,0
0.31,0.46,0
0.03,0.13,0
0.44,0.48,0
0.22,0.26,0
0.14,0.62,0
0.22,0.46,1
0.05,0.29,0
0.21,0.61,0
0.07,0.54,1
0.19,0.32,0
0.17,0.45,0
0.25,0.31,0
0.32,0.37,0
0.12,0.53,0
0.35,0.55,0
0.09,0.33,0
0.05,0.40,0
0.12,0.51,0
0.24,0.39,0
0.04,0.08,0
0.39,0.58,0
0.38,0.10,0
0.01,0.14,0
0.22,0.56,0
0.05,0.04,0
0.41,0.38,0
0.62,0.85,1
0.05,0.68,0
0.07,0.17,0
0.29,0.71,1
0.46,0.16,0
0.32,0.12,0
0.24,0.47,0
0.11,0.37,0
0.11,0.43,1
0.25,0.80,1
0.38,0.23,0
0.54,0.09,0
0.15,0.52,0
0.48,0.43,0
0.64,0.53,0
0.40,0.54,0
0.04,0.63,0
0.60,0.26,0
0.20,0.47,1
0.55,0.30,0
0.25,0.37,0
0.26,0.24,0
0.52,0.49,0
0.31,0.26,0
0.07,0.36,0
0.28,0.46,0
0.20,0.82,1
0.00,0.07,0
0.26,0.39,0
0.17,0.76,1
0.25,0.55,1
0.16,0.27,0
0.31,0.15,0
0.70,0.43,0
0.37,0.50,0
0.60,0.58,1
0.18,0.19,0
0.14,0.53,1
0.53,0.99,1
0.50,0.22,0
0.08,0.32,0
0.64,0.27,0
0.30,0.11,0
0.28,0.66,0
0.35,0.23,0
0.06,0.43,0
0.50,0.08,0
0.08,0.23,0
0.26,0.40,1
0.37,0.98,1
0.49,0.50,0
0.06,0.53,1
0.43,0.23,0
0.28,0.44,0
0.21,0.42,1
0.09,0.30,0
0.22,0.47,0
0.50,0.45,1
0.65,0.45,0
0.08,0.62,0
0.02,0.68,1
0.17,0.06,0
0.24,0.37,0
0.18,0.06,0
0.24,0.21,0
0.23,0.38,0
0.17,0.28,0
0.27,0.29,0
0.20,0.47,0
0.20,0.45,0
0.12,0.57,0
0.08,0.60,0
0.38,0.59,1
0.04,0.20,0
0.31,0.20,0
0.12,0.41,0
0.35,0.48,0
0.16,0.74,1
0.01,0.20,0
0.32,0.38,0
0.24,0.83,1
0.21,0.13,0
0.07,0.23,0
0.31,0.43,0
0.24,0.16,0
0.14,0.08,0
0.15,0.23,0
0.28,0.14,0
0.18,0.10,0
0.14,0.35,0
0.40,0.35,0
0.11,0.83,1
0.31,0.23,0
0.38,0.49,0
0.47,0.45,0
0.10,0.27,0
0.22,0.27,0
0.13,0.17,0
0.23,0.52,1
0.53,0.32,0
0.32,0.35,0
0.16,0.07,0
0.39,0.50,0
0.32,0.57,0
0.02,0.56,0
0.33,0.60,1
0.21,0.31,0
0.14,0.76,1
0.24,0.05,0
0.61,0.31,0
0.26,0.12,0
0.06,0.47,0
0.29,0.74,1
0.11,0.81,1
0.46,0.34,0
0.15,0.37,0
0.06,0.58,0
0.44,0.12,0
0.21,0.34,0
0.63,0.10,0
0.22,0.62,0
0.57,0.19,0
0.22,0.09,0
0.19,0.20,0
0.24,0.86,1
0.49,0.18,0
0.15,0.52,0
0.26,0.24,0
0.57,0.54,0
0.63,0.33,0
0.18,0.33,0
0.10,0.71,0
0.12,0.50,0
0.28,0.39,0
0.09,1.00,1
0.55,0.48,1
0.38,0.42,0
0.19,0.51,0
0.20,0.43,0
0.46,0.63,0
0.26,0.38,0
0.16,0.14,0
0.06,0.71,1
0.23,0.61,0
0.32,0.73,1
0.25,0.39,1
0.15,0.25,0
0.09,0.56,1
0.02,0.56,1
0.12,0.61,1
0.65,0.38,0
0.17,0.33,0
0.40,0.73,1
0.40,0.16,0
0.15,0.42,0
0.05,0.35,0
0.27,0.19,0
0.30,0.01,0
0.46,0.53,1
0.02,0.49,0
0.19,0.05,0
0.24,0.39,0
0.01,0.03,0
0.47,0.80,1
0.35,0.84,1
0.46,0.64,0
0.14,0.48,0
0.27,0.41,0
0.12,0.25,0
0.01,0.16,0
0.52,0.26,0
0.43,0.52,1
0.13,0.33,0
0.53,0.22,0
0.01,0.13,0
0.14,0.28,0
0.36,0.03,0
0.15,0.15,0
0.39,0.50,0
0.26,0.11,0
0.25,0.52,0
0.16,0.56,0
0.22,0.26,0
0.22,0.56,0
0.22,0.38,0
0.21,0.35,0
0.04,0.23,0
0.23,0.84,1
0.17,0.19,0
0.17,0.20,0
0.29,0.80,1
0.30,0.39,0
0.13,0.50,0
0.23,0.14,0
0.55,0.30,0
0.10,0.31,0
0.42,0.36,0
0.25,0.32,0
0.03,0.24,0
0.34,0.08,0
0.27,0.17,0
0.31,0.43,1
0.38,0.53,1
0.37,0.10,0
0.16,0.23,0
0.23,0.63,1
0.38,0.43,0
0.08,0.82,1
0.20,0.35,0
0.26,0.58,0
0.20,0.26,0
0.24,0.52,0
0.12,0.37,0
0.20,0.47,0
0.06,0.01,0
0.41,0.78,1
0.02,0.47,0
0.27,0.31,0
0.24,0.89,1
0.13,0.51,0
0.35,0.63,0
0.27,0.09,0
0.05,0.90,1
0.32,0.48,1
0.11,0.12,0
0.53,0.77,0
0.28,0.26,0
0.25,0.27,0
0.17,0.49,0
0.57,0.36,0
0.21,0.03,0
0.64,0.52,1
0.49,0.32,0
0.35,0.93,1
0.41,0.51,0
0.42,0.62,0
0.43,0.54,0
0.39,0.41,0
0.26,0.27,1
0.59,0.33,0
0.26,0.45,0
0.18,0.34,0
0.51,0.39,1
0.59,0.21,0
0.45,0.25,0
0.14,0.15,0
0.24,0.29,0
0.09,0.56,0
0.30,0.22,0
0.38,0.25,0
0.15,0.35,0
0.06,0.54,0
0.24,0.58,0
0.19,0.19,0
0.54,0.66,1
0.36,0.13,0
0.41,0.37,0
0.37,0.85,1
0.20,0.48,0
0.27,0.51,0
0.32,0.38,0
0.23,0.08,0
0.32,0.15,0
0.32,0.15,0
0.04,0.14,0
0.42,0.20,0
0.34,0.36,0
0.27,0.31,0
0.12,0.28,0
0.27,0.43,1
0.25,0.33,0
0.18,0.37,0
0.10,0.12,0
0.13,0.44,0
0.36,0.21,0
0.29,0.21,0
0.34,0.76,1
0.04,0.32,0
0.20,0.25,0
0.10,0.56,0
0.40,0.52,0
0.35,0.05,0
0.27,0.44,0
0.39,0.48,1
0.19,0.64,1
0.11,0.37,0
0.48,0.05,0
0.30,0.86,1
0.35,0.27,0
0.33,0.20,0
0.18,0.45,0
0.43,0.35,0
0.19,0.34,0
0.13,0.71,1
0.12,0.25,0
0.36,0.19,0
0.07,0.41,0
0.17,0.64,1
0.14,0.42,0
0.07,0.22,0
0.51,0.36,0
0.46,0.63,1
0.22,0.77,1
0.28,0.17,0
0.52,0.84,1
0.19,0.59,0
0.15,0.22,0
0.28,0.33,1
0.06,0.16,0
0.24,0.72,0
0.05,0.35,0
0.08,0.23,0
0.11,0.27,0
0.21,0.42,0
0.02,0.13,0
0.00,0.30,0
0.52,0.31,0
0.25,0.52,0
0.39,0.19,0
0.42,0.27,0
0.05,0.12,0
0.18,0.33,0
0.22,0.25,0
0.31,0.48,0
0.27,0.53,0
0.07,0.47,1
0.39,0.10,0
0.18,0.24,0
0.39,0.44,0
0.32,0.41,0
0.31,0.05,0
0.36,0.18,0
0.45,0.34,0
0.30,0.17,0
0.20,0.65,0
0.33,0.58,0
0.34,0.67,1
0.13,0.41,0
0.22,0.27,0
0.35,0.40,0
0.25,0.62,1
0.58,0.36,0
0.02,0.45,0
0.09,0.25,0
0.16,0.25,0
0.23,0.34,0
0.38,0.33,0
0.62,0.98,1
0.60,0.71,1
0.43,0.78,1
0.28,0.10,1
0.11,0.42,0
0.08,0.38,1
0.23,0.34,0
0.13,0.24,0
0.36,0.53,0
0.06,0.84,0
0.11,0.23,0
0.18,0.24,0
0.32,0.19,0
0.23,0.50,1
0.34,0.62,1
0.27,0.35,0
